Dates;Item1;Item2;Item3;Item4;Item5;Item6;Item7;Item8;Item9;Item10
2006-01-01;0;49;64;70.468;0;45.181999999999995;71;21.664;138;0
2006-01-02;0;56;60;57.368;0;39.506;27;19.664;76;6
2006-01-03;0;61;71;34.35;0;28.064;10;10.402000000000001;152;12
2006-01-04;0;32;59;40.186;0;40.256;27;9.937999999999999;67;12
2006-01-05;0;45;61;28.914;0;35.784;27;16.672;49;24
2006-01-06;158;30;57;56.338;76;34.66;35;23.95;29;24
2006-01-07;127;67;58;52.294;43;45.922;48;24.605999999999998;66;24
2006-01-08;148;80;64;88.154;84;41.83;67;24.578000000000003;103;0
2006-01-09;87;67;60;69.056;38;38.91;43;16.822;50;6
2006-01-10;90;45;60;45.818000000000005;30;23.112;6;16.424;43;24
2006-01-11;75;51;60;52.95;28;55.968;44;21.399;20;12
2006-01-12;72;63;46;49.106;17;26.698;35;20.838;37;6
2006-01-13;90;47;58;52.244;33;25.706;12;18.258;34;24
2006-01-14;139;65;66;48.708;25;37.894;52;28.031999999999996;75;30
2006-01-15;81;84;70;63.208;5;49.604;33;30.304000000000002;89;0
2006-01-16;88;95;50;64.914;0;47.766000000000005;20;11.774000000000001;52;24
2006-01-17;61;77;68;40.501999999999995;0;27.614;27;9.38;16;12
2006-01-18;107;65;60;40.556;0;39.808;23;10.628;11;36
2006-01-19;80;53;55;25.816;0;25.892;27;10.517999999999999;16;0
2006-01-20;99;49;65;39.662;0;34.068000000000005;17;26.956;35;12
2006-01-21;89;76;60;44.06;0;28.986;62;26.58;117;12
2006-01-22;112;100;42;84.052;0;49.36600000000001;16;40.548;118;0
2006-01-23;125;73;62;54.172;0;29.95;24;14.508;44;12
2006-01-24;109;74;63;35.562;0;33.314;16;16.378;38;6
2006-01-25;103;56;68;26.408;0;24.471999999999998;30;16.064;46;18
2006-01-26;88;54;56;25.854;33;29.671999999999997;53;16.726;37;24
2006-01-27;64;66;68;30.304000000000002;26;38.766;12;15.434000000000001;36;18
2006-01-28;97;105;61;48.308;38;25.046;35;21.944000000000003;71;30
2006-01-29;127;115;58;67.398;3;29.996;89;36.922;93;0
2006-01-30;82;87;57;46.092;0;35.918;13;19.92;104;6
2006-01-31;101;68;63;32.164;0;30.368000000000002;23;15.628;31;24
2006-02-01;95;79;60;37.602;0;23.316;16;14.966;54;6
2006-02-02;74;80;60;31.516;33;55.886;25;16.268;50;12
2006-02-03;67;67;56;27.206;24;36.28;35;10.388;128;24
2006-02-04;66;14;64;10.754000000000001;37;20.537;3;7.018;90;30
2006-02-05;120;136;53;72.292;59;55.852;32;25.858;188;0
2006-02-06;80;111;62;58.693999999999996;47;29.35;22;23.348000000000003;16;6
2006-02-07;66;69;74;38.536;0;41.846000000000004;9;16.006;27;42
2006-02-08;68;73;69;30.502;0;30.328000000000003;2;12.74;23;24
2006-02-09;67;49;58;28.694000000000003;0;32.361999999999995;5;9.594;43;0
2006-02-10;68;58;59;33.054;35;36.398;2;15.6;44;18
2006-02-11;106;62;59;72.76;39;76.406;5;23.766;126;42
2006-02-12;94;95;74;85.557;66;31.644000000000002;2;23.342;117;0
2006-02-13;88;85;88;68.73100000000001;10;34.082;4;12.352;59;0
2006-02-14;70;80;79;48.723;23;40.986000000000004;0;24.69;27;18
2006-02-15;73;57;62;40.931;25;35.122;27;26.648000000000003;68;0
2006-02-16;64;67;66;62.022;39;32.321999999999996;58;21.945999999999998;33;18
2006-02-17;76;68;66;46.867;37;51.123999999999995;27;16.445999999999998;60;24
2006-02-18;130;86;93;58.751999999999995;58;51.59;25;33.62;57;24
2006-02-19;127;106;82;57.321000000000005;54;53.141999999999996;19;32.096;129;0
2006-02-20;72;73;66;79.653;45;38.922;25;20.355999999999998;46;18
2006-02-21;88;80;62;60.501000000000005;28;37.188;14;18.084;26;42
2006-02-22;75;48;81;63.31399999999999;21;37.574;25;13.485999999999999;37;24
2006-02-23;79;57;101;63.001999999999995;42;58.111999999999995;14;17.144000000000002;26;12
2006-02-24;74;57;74;57.65;44;37.126;3;15.914000000000001;49;0
2006-02-25;107;78;86;91.00299999999999;68;36.558;11;34.308;129;0
2006-02-26;108;87;78;104.839;48;36.33;0;37.97;110;0
2006-02-27;96;58;36;87.389;35;26.814;0;18.756;41;6
2006-02-28;77;61;79;33.407;18;25.33;0;11.107999999999999;27;39
2006-03-01;91;54;58;49.336999999999996;32;43.528;7;10.392000000000001;25;12
2006-03-02;72;83;75;46.205;44;21.494;37;11.764000000000001;31;6
2006-03-03;64;82;64;67.604;50;41.01;20;11.388;43;18
2006-03-04;111;72;70;90.084;50;51.818000000000005;35;39.99;153;24
2006-03-05;138;141;57;126.667;57;54.318000000000005;15;25.22;119;0
2006-03-06;90;114;67;100.104;36;38.894;16;17.826;24;6
2006-03-07;69;60;63;50.843;28;33.008;19;12.242;21;18
2006-03-08;58;63;65;43.248000000000005;45;63.798;36;10.802;23;30
2006-03-09;78;70;52;47.278;45;37.688;17;15.556;25;6
2006-03-10;81;49;77;64.065;63;26.706;9;19.892;51;30
2006-03-11;126;83;65;61.449;58;37.69;21;35.138000000000005;74;6
2006-03-12;127;119;56;88.76299999999999;57;40.08;7;25.14;126;0
2006-03-13;102;95;69;74.544;38;62.412;2;23.164;23;6
2006-03-14;65;58;57;44.20399999999999;25;34.06;4;16.566;23;12
2006-03-15;102;63;67;44.559;24;35.5;21;15.434000000000001;31;36
2006-03-16;85;62;52;35.126;33;27.305999999999997;27;15.942;33;12
2006-03-17;74;70;60;36.375;26;30.228;34;14.77;36;12
2006-03-18;108;90;60;72.039;50;39.912;41;27.522;80;48
2006-03-19;139;124;47;86.714;62;46.492;41;24.138;90;0
2006-03-20;110;114;65;67.39399999999999;38;42.86600000000001;13;13.488;28;24
2006-03-21;116;86;84;32.402;25;55.738;0;12.33;13;54
2006-03-22;84;49;61;39.711;26;37.431999999999995;20;12.036;20;18
2006-03-23;114;71;62;41.538000000000004;36;38.448;12;12.802;14;0
2006-03-24;123;54;62;35.179;46;28.278000000000002;10;10.016;12;0
2006-03-25;169;95;58;83.501;94;51.696000000000005;76;29.314;66;15
2006-03-26;145;110;46;64.12100000000001;119;68.416;28;40.678000000000004;75;0
2006-03-27;200;86;71;43.68;25;41.848;23;25.4;41;6
