day,GSM pcs,Accessories pcs,DECT pcs,Battery pcs,Photo pcs,Offline stores,Online Orders,New Stores,"Accessories, lines",Total lines,Cards pcs,SIM pcs,main,cargo,students,total
2009-12-24,12192.0,33500.0,63778.0,,8263.0,495.0,,,,,19405.0,1665.0,,,,
2009-12-25,10800.0,28800.0,21464.0,,5800.0,429.0,,,,,23973.0,12284.0,,,,
2009-12-26,,,,,,,,,,,,,,,,
2009-12-27,2985.0,7170.0,3226.0,,1710.0,432.0,,,,,7184.0,1146.0,,,,
2009-12-28,5309.0,57789.0,5872.0,,2492.0,283.0,,,,,1369.0,336.0,,,,
2009-12-29,,,,,,,,,,,,,,,,
2009-12-30,11964.0,80247.0,45634.0,,6307.0,431.0,,,,,7839.0,10454.0,,,,
2009-12-31,,,,,,,,,,,,,,,,
2010-01-01,,,,,,,,,,,,,,,,
2010-01-02,,,,,,,,,,,,,,,,
2010-01-03,23873.0,69367.0,25150.0,,15456.0,500.0,,,,,15722.0,,,,,
2010-01-04,15218.0,25917.0,14462.0,,11660.0,431.0,,,,,39248.0,,,,,
2010-01-05,,,,,,,,,,,,,,,,
2010-01-06,,,,,,,,,,,,,,,,
2010-01-07,5124.0,16709.0,10852.0,,3598.0,494.0,,,,,3222.0,353.0,,,,
2010-01-08,5143.0,14739.0,11087.0,,3114.0,428.0,,,,,27042.0,4858.0,,,,
2010-01-09,,,,,,,,,,,,,,,,
2010-01-10,2089.0,9829.0,5605.0,,1148.0,584.0,,,,,3750.0,2789.0,,,,
2010-01-11,8837.0,15505.0,10776.0,,1360.0,339.0,,,,,1461.0,664.0,,,,
2010-01-12,,,,,,,,,,,,,,,,
2010-01-13,14447.0,31703.0,16407.0,,2564.0,431.0,,,,,26591.0,11059.0,,,,
2010-01-14,8228.0,18500.0,18374.0,,4416.0,490.0,,,,,12000.0,406.0,,,,
2010-01-15,19619.0,17955.0,18283.0,,6196.0,429.0,,,,,44479.0,6600.0,,,,
2010-01-16,,,,,,,,,,,,,,,,
2010-01-17,19312.0,10370.0,10374.0,,2208.0,586.0,,,,,18110.0,4118.0,,,,
2010-01-18,20701.0,14067.0,14164.0,,2661.0,338.0,,,,,7372.0,744.0,,,,
2010-01-19,,,,,,,,,,,,,,,,
2010-01-20,10129.0,18243.0,11700.0,,4800.0,430.0,,,,,11436.0,9367.0,,,,
2010-01-21,12092.0,14813.0,9975.0,,4574.0,489.0,,,,,2705.0,379.0,,,,
